date,time,PRICE_XLFsynprice_XLFsynprice_ON_XLF,PRICE_XLF_XLFsynprice_ON_XLF,BETA_XLFsynprice_ON_XLF,SPREAD_XLFsynprice_ON_XLF,Z_XLFsynprice_ON_XLF,Z_VOL_XLFsynprice_ON_XLF,market_close,SIGNAL_XLFsynprice_ON_XLF,POS_XLFsynprice_ON_XLF,POS_BETA_XLFsynprice_ON_XLF,PAIR_BASE_XLFsynprice_ON_XLF,PAIR_RET_XLFsynprice_ON_XLF,SL_XLFsynprice_ON_XLF,LOSS_XLFsynprice_ON_XLF,COOLDOWN_XLFsynprice_ON_XLF,CAPITAL_XLFsynprice_ON_XLF,REMAINING_CAPITAL,CAPITAL,PORT_RET
2023-03-10,16:50:00.000000000,149.63468450523845,33.29,2.1763874722156977,77.18274555517787,2.041578617138382,1.7334808584905204,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:51:00.000000000,149.53578303799708,33.255,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:52:00.000000000,149.59076331956516,33.31,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:53:00.000000000,149.5855359272519,33.305,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:54:00.000000000,149.7521148162958,33.32,2.2389161898463907,75.15142737061406,1.7220562058811557,1.6726639931200333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:55:00.000000000,149.55513954036215,33.295,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:56:00.000000000,149.63077596834077,33.28,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:57:00.000000000,149.7044118835035,33.345,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:58:00.000000000,149.50768416566376,33.28,2.3317891652622125,71.90574074573733,1.4585887664651394,1.5922251327804386,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:59:00.000000000,149.42445589911824,33.26,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
