date,time,PRICE_XLCsynprice_XLCsynprice_ON_XLC,PRICE_XLC_XLCsynprice_ON_XLC,BETA_XLCsynprice_ON_XLC,SPREAD_XLCsynprice_ON_XLC,Z_XLCsynprice_ON_XLC,Z_VOL_XLCsynprice_ON_XLC,market_close,SIGNAL_XLCsynprice_ON_XLC,POS_XLCsynprice_ON_XLC,POS_BETA_XLCsynprice_ON_XLC,PAIR_BASE_XLCsynprice_ON_XLC,PAIR_RET_XLCsynprice_ON_XLC,SL_XLCsynprice_ON_XLC,LOSS_XLCsynprice_ON_XLC,COOLDOWN_XLCsynprice_ON_XLC,CAPITAL_XLCsynprice_ON_XLC,REMAINING_CAPITAL,CAPITAL,PORT_RET
2022-05-02,14:06:00.000000000,126.3950660143466,59.82,3.4850571167888105,-82.08105071196006,-1.3765805971060079,1.115372361936067,0,0.0,-1.0,1.8861268947259795,239.2231768568547,0.00018111782109965738,0.0,-0.003000138576437106,0.0,0.9070221551558053,0.10111575715138676,1.008137912307192,0.00016294882892782948
2022-05-02,14:07:00.000000000,126.3036834817162,59.83,,,,,0,0.0,-1.0,1.8861268947259795,239.15065559317156,0.00046084080575355693,0.0,-0.002819564133899277,0.0,0.9074401479766236,0.10111575715138676,1.0085559051280104,0.0004146186902759474
2022-05-02,14:08:00.000000000,126.49080956971972,59.86,,,,,0,0.0,-1.0,1.8861268947259795,239.39436548801683,-0.0005458579272464714,0.0,-0.0023600226983531147,0.0,0.9069448145783489,0.10111575715138676,1.0080605717297355,-0.000491131325250661
2022-05-02,14:09:00.000000000,126.49669925775731,59.86,,,,,0,0.0,-1.0,1.8861268947259795,239.40025517605443,-0.000024602450544697876,0.0,-0.0029045923885012703,0.0,0.9069225015134014,0.10111575715138676,1.0080382586647882,-0.000022134647037110806
2022-05-02,14:10:00.000000000,126.78377063908036,59.92,3.506052499157452,-83.29889511043419,-1.3597741860534627,1.1351105352821795,0,0.0,-1.0,1.8861268947259795,239.80049417106105,-0.0007264142952211925,0.0,-0.002929123378955345,0.0,0.9062637000436442,0.10111575715138676,1.007379457195031,-0.0006535480812304687
2022-05-02,14:11:00.000000000,127.01378170340872,59.98,,,,,0,0.0,-1.0,1.8861268947259795,240.14367284907297,-0.00048725275170391426,0.0,-0.0036534099170817402,0.0,0.9058221205620286,0.10111575715138676,1.0069378777134155,-0.0004383447354039146
2022-05-02,14:12:00.000000000,126.44419744808125,59.82,,,,,0,0.0,-1.0,1.8861268947259795,239.27230829058936,0.0011151822115239797,0.0,-0.0041388825347503655,0.0,0.9068322772776843,0.10111575715138676,1.007948034429071,0.0010031966599065804
2022-05-02,14:13:00.000000000,126.1839667212601,59.77,,,,,0,0.0,-1.0,1.8861268947259795,238.91777121903192,0.0006934541789238003,0.0,-0.0030283159314047348,0.0,0.9074611239099456,0.10111575715138676,1.0085768810613325,0.0006238879493600852
2022-05-02,14:14:00.000000000,126.22672567406559,59.8,3.510869151747025,-83.72324960040652,-1.321630032258165,1.1517352845845714,0,0.0,-1.0,1.8861268947259795,239.01711397867916,0.00005786448603529148,0.0,-0.0023369617508185447,0.0,0.9075136336814777,0.10111575715138676,1.0086293908328645,0.000052063231388748907
2022-05-02,14:15:00.000000000,126.2746075911434,59.82,,,,,0,0.0,-1.0,1.8861268947259795,239.1027184336515,-0.00004250481906573686,0.0,-0.002279232491873784,0.0,0.9074750599786784,0.10111575715138676,1.0085908171300653,-0.00003824368311079814
2022-05-02,14:16:00.000000000,126.2396695933223,59.8,,,,,0,0.0,-1.0,1.8861268947259795,239.03005789793588,-0.00001164579010927332,0.0,-0.0023216404325748785,0.0,0.9074644917146005,0.10111575715138676,1.0085802488659872,-0.00001047824737107284
2022-05-02,14:17:00.000000000,126.18012993043271,59.79,,,,,0,0.0,-1.0,1.8861268947259795,238.95165696609902,0.00017018108224572568,0.0,-0.002333259185346881,0.0,0.9076189250039001,0.10111575715138676,1.008734682155287,0.0001531194860036171
