date,time,PRICE_XLYsynprice_XLYsynprice_ON_XLY,PRICE_XLY_XLYsynprice_ON_XLY,BETA_XLYsynprice_ON_XLY,SPREAD_XLYsynprice_ON_XLY,Z_XLYsynprice_ON_XLY,Z_VOL_XLYsynprice_ON_XLY,market_close,SIGNAL_XLYsynprice_ON_XLY,POS_XLYsynprice_ON_XLY,POS_BETA_XLYsynprice_ON_XLY,PAIR_BASE_XLYsynprice_ON_XLY,PAIR_RET_XLYsynprice_ON_XLY,SL_XLYsynprice_ON_XLY,LOSS_XLYsynprice_ON_XLY,COOLDOWN_XLYsynprice_ON_XLY,CAPITAL_XLYsynprice_ON_XLY,REMAINING_CAPITAL,CAPITAL,PORT_RET
2024-01-26,19:12:00.000000000,398.5424389624266,171.59,,,,,0,0.0,1.0,1.6379420768493271,679.5969199290026,0.00010291928892533961,0.0,-7.957925466484106e-6,0.0,0.9001534087854466,0.09999999999999998,1.0001534087854465,0.00009262798548819698
2024-01-26,19:13:00.000000000,398.5195506943194,171.64,,,,,0,0.0,1.0,1.6379420768493271,679.6559287647378,-0.0001541875321633612,0.0,0.0,0.0,0.9000146163527776,0.09999999999999998,1.0000146163527774,-0.00013877114395636106
2024-01-26,19:14:00.000000000,398.51668682536916,171.61,0.5134244088075572,310.4079240299043,0.8623347727094532,0.7720370943032916,0,0.0,1.0,1.6379420768493271,679.6039266334822,0.00006808502861042268,0.0,-0.00015418753216334125,0.0,0.9000758938736817,0.09999999999999998,1.0000758938736816,0.000061276625263352
2024-01-26,19:15:00.000000000,398.5344777340845,171.62,,,,,0,0.0,1.0,1.6379420768493271,679.6380969629661,2.0769272976647313e-6,0.0,-0.00008611300141547762,0.0,0.9000777632658757,0.09999999999999998,1.0000777632658757,1.8692503295053318e-6
2024-01-26,19:16:00.000000000,398.2912769014495,171.63,,,,,0,0.0,1.0,1.6379420768493271,679.4112755510996,-0.0003819389386254294,0.0,-0.00008403625296815598,0.0,0.8997339885202936,0.09999999999999998,0.9997339885202936,-0.0003437480146138603
2024-01-26,19:17:00.000000000,398.27333546452763,171.66,,,,,0,0.0,1.0,1.6379420768493271,679.4424723764831,-0.0000987320959207488,0.0,-0.0004659430948763532,0.0,0.8996451558978359,0.09999999999999998,0.9996451558978359,-0.0000888562592427375
2024-01-26,19:18:00.000000000,398.2627249442353,171.645,0.5544595018203815,303.09252375427593,0.9534721613227658,0.7925101059458374,0,0.0,1.0,1.6379420768493271,679.4072927250381,0.00002054421298028909,0.0,-0.0005646291872587472,0.0,0.8996636383995255,0.09999999999999998,0.9996636383995254,0.000018489062424320926
2024-01-26,19:19:00.000000000,397.88841861383133,171.5999,,,,,0,0.0,1.0,1.6379420768493271,678.9591152069681,-0.00044220182202196783,0.0,-0.0005440965741405623,0.0,0.8992658054994183,0.09999999999999998,0.9992658054994182,-0.00039796676084381095
2024-01-26,19:20:00.000000000,398.2702781467437,171.58,,,,,0,0.0,1.0,1.6379420768493271,679.3083796925513,0.0006104264173775557,0.0,-0.0009860577956660732,0.0,0.8998147411033395,0.09999999999999998,0.9998147411033395,0.0005493389255393055
2024-01-26,19:21:00.000000000,398.41427679826495,171.555,,,,,0,0.0,1.0,1.6379420768493271,679.4114297921512,0.00027225809215868975,0.0,-0.00037623329401603733,0.0,0.9000597229480485,0.09999999999999998,1.0000597229480483,0.0002450272381846893
2024-01-26,19:22:00.000000000,398.3786592654333,171.57,0.656523391482244,285.7389409888247,0.9055083864222907,0.8092470997518337,0,0.0,1.0,1.6379420768493271,679.4003813904724,-0.00008858647550680409,0.0,-0.00010407763441622198,0.0,0.8999799898294469,0.09999999999999998,0.9999799898294469,-0.0000797283569889103
2024-01-26,19:23:00.000000000,398.4263472622514,171.5199,,,,,0,0.0,1.0,1.6379420768493271,679.3660084892404,0.00019097559910500505,0.0,-0.0001926548900521574,0.0,0.9001518640471871,0.09999999999999998,1.000151864047187,0.00017187765704124066
2024-01-26,19:24:00.000000000,398.3532858339315,171.47,,,,,0,0.0,1.0,1.6379420768493271,679.2112137512856,0.000012764667655649749,0.0,-1.716083330327578e-6,0.0,0.9001633541865711,0.09999999999999998,1.000163354186571,0.000011488394710057408
2024-01-26,19:25:00.000000000,398.3656106940556,171.46,,,,,0,0.0,1.0,1.6379420768493271,679.2071591906413,0.000042261199920450373,0.0,0.0,0.0,0.9002013961700435,0.09999999999999998,1.0002013961700436,0.000038035770170162045
2024-01-26,19:26:00.000000000,398.1328456916057,171.47,0.7748248413273966,265.27363014919706,0.7667911351492833,0.794096717483752,0,0.0,1.0,1.6379420768493271,678.9907736089599,-0.0003668165446242353,0.0,0.0,0.0,0.8998711874044345,0.09999999999999998,0.9998711874044345,-0.00033014227621907464
2024-01-26,19:27:00.000000000,398.1315474846927,171.47,,,,,0,0.0,1.0,1.6379420768493271,678.9894754020468,-1.9119654691625453e-6,0.0,-0.00036681654462422664,0.0,0.8998694668817975,0.09999999999999998,0.9998694668817975,-1.7207442905659718e-6
2024-01-26,19:28:00.000000000,398.3121389025426,171.54,,,,,0,0.0,1.0,1.6379420768493271,679.2847227652762,0.00009710823931604001,0.0,-0.0003687278087527446,0.0,0.8999568516213405,0.09999999999999998,0.9999568516213405,0.00008739614763473124
2024-01-26,19:29:00.000000000,398.34601670183156,171.51,,,,,0,0.0,1.0,1.6379420768493271,679.2694623022596,0.00012221099461289924,0.0,-0.00027165537594520117,0.0,0.9000668362432859,0.09999999999999998,1.0000668362432859,0.00010998936780822669
2024-01-26,19:30:00.000000000,398.34684696448096,171.52,0.8390959448025422,254.4251105119489,0.6797136443236514,0.772354544251509,0,0.0,1.0,1.6379420768493271,679.2866719856776,-0.000022891001262505862,0.0,-0.00014947758060590566,0.0,0.9000462328122011,0.09999999999999998,1.000046232812201,-0.000020602054120885494
2024-01-26,19:31:00.000000000,398.4342083353825,171.52,,,,,0,0.0,1.0,1.6379420768493271,679.374033356579,0.000128607515066003,0.0,-0.00017236516017693493,0.0,0.9001619855216475,0.09999999999999998,1.0001619855216475,0.00011574735812054428
2024-01-26,19:32:00.000000000,398.44845676150817,171.49,,,,,0,0.0,1.0,1.6379420768493271,679.3391435203994,0.00009330160606516437,0.0,-0.000043779812565980514,0.0,0.9002459720806154,0.09999999999999998,1.0002459720806154,0.00008397295656473443
2024-01-26,19:33:00.000000000,398.2603293861487,171.48,,,,,0,0.0,1.0,1.6379420768493271,679.1346367242713,-0.00025281622033567,0.0,0.0,0.0,0.9000183752965816,0.09999999999999998,1.0000183752965817,-0.00022754081534594786
2024-01-26,19:34:00.000000000,398.256723622213,171.48,0.9091038638611527,242.36359304730252,0.5448153035485745,0.7493864577530893,0,0.0,1.0,1.6379420768493271,679.1310309603356,-5.3093506659361175e-6,0.0,-0.0002528162203356832,0.0,0.9000135967834214,0.09999999999999998,1.0000135967834214,-4.778425355292014e-6
2024-01-26,19:35:00.000000000,398.2307190279529,171.56,,,,,0,0.0,1.0,1.6379420768493271,679.2360617322234,-0.00023123661451012977,0.0,-0.0002581242287115204,0.0,0.8998054806862882,0.09999999999999998,0.9998054806862882,-0.0002081132674622015
2024-01-26,19:36:00.000000000,398.2067421283698,171.635,,,,,0,0.0,1.0,1.6379420768493271,679.3349304884041,-0.00021615836322402945,0.0,-0.0004893011554488735,0.0,0.899610980206363,0.09999999999999998,0.999610980206363,-0.00019453832138596367
2024-01-26,19:37:00.000000000,398.20090966443024,171.685,,,,,0,0.0,1.0,1.6379420768493271,679.4109951283069,-0.00012914037515923956,0.0,-0.0007053537521360953,0.0,0.8994948041068818,0.09999999999999998,0.9994948041068817,-0.00011622131187198509
2024-01-26,19:38:00.000000000,398.2119226095936,171.71,0.84639093652525,252.87813489884294,0.6775738212437288,0.7321238052555268,0,0.0,1.0,1.6379420768493271,679.4629566253916,-0.00004406111613224756,0.0,-0.0008344030376471467,0.0,0.8994551713618577,0.09999999999999998,0.9994551713618577,-0.000039652777444369745
2024-01-26,19:39:00.000000000,398.22751151620236,171.72,,,,,0,0.0,1.0,1.6379420768493271,679.4949249527688,-1.163439672520683e-6,0.0,-0.0008784273890501959,0.0,0.8994541249000277,0.09999999999999998,0.9994541249000277,-1.0470322831406187e-6
