,number,value,datetime_start,datetime_complete,duration,params_ALGN_CELG_beta_win,params_ALGN_CELG_trade_freq,params_ALGN_CELG_z_entry,params_ALGN_CELG_z_exit,params_ALGN_CELG_z_win,params_ATVI_TTWO_beta_win,params_ATVI_TTWO_trade_freq,params_ATVI_TTWO_z_entry,params_ATVI_TTWO_z_exit,params_ATVI_TTWO_z_win,params_AVGO_CELG_beta_win,params_AVGO_CELG_trade_freq,params_AVGO_CELG_z_entry,params_AVGO_CELG_z_exit,params_AVGO_CELG_z_win,params_BIDU_CELG_beta_win,params_BIDU_CELG_trade_freq,params_BIDU_CELG_z_entry,params_BIDU_CELG_z_exit,params_BIDU_CELG_z_win,params_BIIB_FOXA_beta_win,params_BIIB_FOXA_trade_freq,params_BIIB_FOXA_z_entry,params_BIIB_FOXA_z_exit,params_BIIB_FOXA_z_win,params_FOX_BIIB_beta_win,params_FOX_BIIB_trade_freq,params_FOX_BIIB_z_entry,params_FOX_BIIB_z_exit,params_FOX_BIIB_z_win,params_FOX_FOXA_beta_win,params_FOX_FOXA_trade_freq,params_FOX_FOXA_z_entry,params_FOX_FOXA_z_exit,params_FOX_FOXA_z_win,params_NTES_CELG_beta_win,params_NTES_CELG_trade_freq,params_NTES_CELG_z_entry,params_NTES_CELG_z_exit,params_NTES_CELG_z_win,params_PEP_CELG_beta_win,params_PEP_CELG_trade_freq,params_PEP_CELG_z_entry,params_PEP_CELG_z_exit,params_PEP_CELG_z_win,params_TTWO_HSIC_beta_win,params_TTWO_HSIC_trade_freq,params_TTWO_HSIC_z_entry,params_TTWO_HSIC_z_exit,params_TTWO_HSIC_z_win,params_pairs_to_trade,state
42,42,,2025-05-29 23:36:29.312205,2025-05-29 23:36:29.662017,0 days 00:00:00.349812,,,,,,,,,,,710,55m,1.9000000000000001,-2.6,130,,,,,,,,,,,690,33m,2.6,-3.3,210,,,,,,,,,,,,,,,,,,,,,1,FAIL
43,43,-2.390175469488047,2025-05-29 23:36:29.662017,2025-05-29 23:36:29.997046,0 days 00:00:00.335029,,,,,,,,,,,780,30m,2.0,-2.5,280,,,,,,,,,,,690,23m,2.7,-3.0,200,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
44,44,2.652201915536058,2025-05-29 23:36:29.997046,2025-05-29 23:36:30.336509,0 days 00:00:00.339463,,,,,,,,,,,220,55m,1.9000000000000001,-2.7,190,,,,,,,,,,,470,18m,2.2,-3.2,290,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
45,45,,2025-05-29 23:36:30.346065,2025-05-29 23:36:30.878505,0 days 00:00:00.532440,,,,,,,,,,,370,58m,1.6,-2.0999999999999996,450,,,,,,830.0,27m,0.30000000000000004,-1.9,710.0,400,51m,3.4000000000000004,-1.5,20,,,,,,,,,,,790.0,34m,3.5,-0.3999999999999999,770.0,,,,,,2,FAIL
46,46,-2.4797671231756686,2025-05-29 23:36:30.878505,2025-05-29 23:36:31.445218,0 days 00:00:00.566713,,,,,,,,,,,370,31m,2.3000000000000003,-2.2,460,,,,,,830.0,58m,0.30000000000000004,-1.9,670.0,400,43m,3.4000000000000004,-2.4,60,,,,,,,,,,,790.0,20m,3.2,-1.7999999999999998,420.0,,,,,,2,COMPLETE
47,47,,2025-05-29 23:36:31.448648,2025-05-29 23:36:31.801001,0 days 00:00:00.352353,,,,,,,,,,,810,37m,1.5,-3.1,260,,,,,,,,,,,300,41m,2.5,-3.5,340,,,,,,,,,,,,,,,,,,,,,1,FAIL
48,48,,2025-05-29 23:36:31.801001,2025-05-29 23:36:32.140713,0 days 00:00:00.339712,,,,,,,,,,,760,34m,1.8,-3.1,260,,,,,,,,,,,570,40m,2.5,-3.5,330,,,,,,,,,,,,,,,,,,,,,1,FAIL
49,49,,2025-05-29 23:36:32.146722,2025-05-29 23:36:32.487419,0 days 00:00:00.340697,,,,,,,,,,,820,28m,2.7,-3.2,100,,,,,,,,,,,590,45m,2.5,-1.5,330,,,,,,,,,,,,,,,,,,,,,1,FAIL
50,50,-0.4879832477085306,2025-05-29 23:36:32.496602,2025-05-29 23:36:32.838377,0 days 00:00:00.341775,,,,,,,,,,,800,15m,1.6,-3.1,140,,,,,,,,,,,560,56m,2.5,-2.5,310,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
51,51,0.6962182789688839,2025-05-29 23:36:32.854523,2025-05-29 23:36:33.178268,0 days 00:00:00.323745,,,,,,,,,,,680,8m,2.8000000000000003,-2.0,290,,,,,,,,,,,330,33m,3.0,-3.5,140,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
52,52,2.282051170087271,2025-05-29 23:36:33.178268,2025-05-29 23:36:33.760307,0 days 00:00:00.582039,,,,,,,,,,,440,57m,1.8,-2.7,550,,,,,,730.0,53m,1.6,-1.1999999999999997,200.0,460,30m,1.6,-1.5999999999999999,220,,,,,,,,,,,90.0,48m,2.2,-0.19999999999999973,760.0,,,,,,2,COMPLETE
