,number,value,datetime_start,datetime_complete,duration,params_buffer_capital,params_pairs_to_trade,params_synprice_QQQ_beta_win,params_synprice_QQQ_stop_loss,params_synprice_QQQ_trade_freq,params_synprice_QQQ_z_entry,params_synprice_QQQ_z_exit,params_synprice_QQQ_z_stop_scaler,params_synprice_QQQ_z_win,state
75,75,-0.014633074082117203,2025-06-20 21:05:05.817367,2025-06-20 21:05:06.042030,0 days 00:00:00.224663,0.45,2,520,0.05,6m,0.9,1.4,1.6,752,COMPLETE
76,76,-0.03630937503062005,2025-06-20 21:05:06.061940,2025-06-20 21:05:06.294887,0 days 00:00:00.232947,0.4,1,528,0.05,6m,0.9,1.4,1.6,752,COMPLETE
77,77,-0.09511357255003865,2025-06-20 21:05:06.313670,2025-06-20 21:05:06.534938,0 days 00:00:00.221268,0.45,3,648,0.05,6m,0.9,0.9,1.7000000000000002,848,COMPLETE
78,78,-0.9765627086611905,2025-06-20 21:05:06.552466,2025-06-20 21:05:06.782741,0 days 00:00:00.230275,0.35000000000000003,2,720,0.05,6m,0.8,1.4,1.3,792,COMPLETE
79,79,-0.4047233484606739,2025-06-20 21:05:06.802250,2025-06-20 21:05:07.032100,0 days 00:00:00.229850,0.45,1,840,0.05,4m,1.0,1.1,1.4000000000000001,936,COMPLETE
80,80,-1.2508291128166953,2025-06-20 21:05:07.043899,2025-06-20 21:05:07.283475,0 days 00:00:00.239576,0.4,4,16,0.05,6m,0.9,1.4,1.4000000000000001,736,COMPLETE
81,81,-0.6719310294260088,2025-06-20 21:05:07.298989,2025-06-20 21:05:07.520875,0 days 00:00:00.221886,0.5,2,536,0.05,6m,0.9,0.8,1.6,640,COMPLETE
82,82,0.11241807537603109,2025-06-20 21:05:07.537070,2025-06-20 21:05:07.760541,0 days 00:00:00.223471,0.45,2,488,0.05,3m,1.1,1.3,1.5,688,COMPLETE
83,83,0.0578900790053511,2025-06-20 21:05:07.779806,2025-06-20 21:05:08.003435,0 days 00:00:00.223629,0.45,3,624,0.05,3m,1.1,1.3,1.9000000000000001,704,COMPLETE
84,84,-0.025830326383070104,2025-06-20 21:05:08.021555,2025-06-20 21:05:08.240062,0 days 00:00:00.218507,0.45,3,624,0.05,3m,1.1,1.3,1.9000000000000001,688,COMPLETE
85,85,0.12320906220279625,2025-06-20 21:05:08.264404,2025-06-20 21:05:08.490270,0 days 00:00:00.225866,0.45,2,584,0.05,3m,1.1,1.4,1.9000000000000001,720,COMPLETE
86,86,0.13545028753020202,2025-06-20 21:05:08.501231,2025-06-20 21:05:08.719784,0 days 00:00:00.218553,0.4,3,576,0.05,3m,1.1,1.3,1.9000000000000001,728,COMPLETE
87,87,0.030610780767094167,2025-06-20 21:05:08.742528,2025-06-20 21:05:08.962680,0 days 00:00:00.220152,0.5,4,560,0.05,3m,1.1,1.4,1.9000000000000001,608,COMPLETE
88,88,0.21257236557964185,2025-06-20 21:05:08.982067,2025-06-20 21:05:09.199490,0 days 00:00:00.217423,0.5,4,584,0.025,3m,1.1,1.3,1.9000000000000001,728,COMPLETE
89,89,0.12322180897747921,2025-06-20 21:05:09.222164,2025-06-20 21:05:09.445114,0 days 00:00:00.222950,0.5,4,584,0.025,3m,1.1,1.3,1.9000000000000001,720,COMPLETE
90,90,-1.0513988709465676,2025-06-20 21:05:09.460847,2025-06-20 21:05:09.680452,0 days 00:00:00.219605,0.5,4,664,0.025,3m,1.1,1.2000000000000002,1.9000000000000001,728,COMPLETE
91,91,0.09369884735304641,2025-06-20 21:05:09.696675,2025-06-20 21:05:09.922066,0 days 00:00:00.225391,0.5,5,576,0.025,3m,1.1,1.3,1.9000000000000001,696,COMPLETE
92,92,0.09318629186029237,2025-06-20 21:05:09.939489,2025-06-20 21:05:10.173079,0 days 00:00:00.233590,0.5,5,592,0.025,3m,1.1,1.3,1.9000000000000001,696,COMPLETE
93,93,0.09374620113796417,2025-06-20 21:05:10.190530,2025-06-20 21:05:10.411140,0 days 00:00:00.220610,0.5,5,592,0.025,3m,1.1,1.3,1.9000000000000001,688,COMPLETE
94,94,-1.0636339922293785,2025-06-20 21:05:10.419974,2025-06-20 21:05:10.662916,0 days 00:00:00.242942,0.5,5,720,0.025,3m,1.1,1.2000000000000002,2.0,696,COMPLETE
95,95,-0.025728314995354273,2025-06-20 21:05:10.679463,2025-06-20 21:05:10.899462,0 days 00:00:00.219999,0.5,6,632,0.025,3m,1.1,1.3,1.9000000000000001,672,COMPLETE
96,96,0.016164386614169114,2025-06-20 21:05:10.922280,2025-06-20 21:05:11.153149,0 days 00:00:00.230869,0.5,5,592,0.025,3m,1.1,1.3,1.8000000000000003,720,COMPLETE
97,97,-0.5552860219767939,2025-06-20 21:05:11.160800,2025-06-20 21:05:11.395963,0 days 00:00:00.235163,0.5,5,664,0.025,3m,1.1,1.2000000000000002,1.9000000000000001,696,COMPLETE
98,98,0.12063725559660365,2025-06-20 21:05:11.415909,2025-06-20 21:05:11.640307,0 days 00:00:00.224398,0.5,6,624,0.025,3m,1.2000000000000002,1.3,2.0,656,COMPLETE
99,99,0.13441089046709997,2025-06-20 21:05:11.664835,2025-06-20 21:05:11.901374,0 days 00:00:00.236539,0.5,6,544,0.025,3m,1.2000000000000002,1.3,2.0,648,COMPLETE
100,100,0.13707254518733297,2025-06-20 21:05:11.919829,2025-06-20 21:05:12.144478,0 days 00:00:00.224649,0.5,6,544,0.025,3m,1.2000000000000002,1.2000000000000002,2.0,664,COMPLETE
101,101,0.1443867288044622,2025-06-20 21:05:12.162687,2025-06-20 21:05:12.397882,0 days 00:00:00.235195,0.5,6,560,0.025,3m,1.2000000000000002,1.2000000000000002,2.0,656,COMPLETE
102,102,0.1347297944674021,2025-06-20 21:05:12.414029,2025-06-20 21:05:12.637565,0 days 00:00:00.223536,0.5,6,544,0.025,3m,1.2000000000000002,1.2000000000000002,2.0,656,COMPLETE
103,103,0.08648814503655972,2025-06-20 21:05:12.655639,2025-06-20 21:05:12.879249,0 days 00:00:00.223610,0.5,6,544,0.025,3m,1.2000000000000002,1.0,2.0,600,COMPLETE
104,104,0.1170900730714539,2025-06-20 21:05:12.903253,2025-06-20 21:05:13.131409,0 days 00:00:00.228156,0.5,7,512,0.025,3m,1.2000000000000002,1.1,2.0,656,COMPLETE
105,105,0.11602217640225017,2025-06-20 21:05:13.140301,2025-06-20 21:05:13.377563,0 days 00:00:00.237262,0.5,7,520,0.025,3m,1.2000000000000002,1.1,2.0,656,COMPLETE
106,106,0.06791825393375013,2025-06-20 21:05:13.394738,2025-06-20 21:05:13.619972,0 days 00:00:00.225234,0.5,7,552,0.025,3m,1.2000000000000002,1.2000000000000002,2.0,632,COMPLETE
107,107,0.12621272033457206,2025-06-20 21:05:13.635622,2025-06-20 21:05:13.863129,0 days 00:00:00.227507,0.5,6,512,0.025,3m,1.2000000000000002,1.1,2.0,616,COMPLETE
108,108,0.03107798774425555,2025-06-20 21:05:13.881114,2025-06-20 21:05:14.102241,0 days 00:00:00.221127,0.3,6,568,0.025,3m,1.2000000000000002,1.2000000000000002,2.0,560,COMPLETE
109,109,0.018951510370346994,2025-06-20 21:05:14.130107,2025-06-20 21:05:14.361406,0 days 00:00:00.231299,0.5,6,696,0.025,3m,1.2000000000000002,1.1,2.0,592,COMPLETE
110,110,-0.4537306745187705,2025-06-20 21:05:14.376411,2025-06-20 21:05:14.603577,0 days 00:00:00.227166,0.5,6,960,0.025,3m,1.2000000000000002,1.2000000000000002,2.0,616,COMPLETE
111,111,0.11121610367392977,2025-06-20 21:05:14.619206,2025-06-20 21:05:14.869431,0 days 00:00:00.250225,0.5,7,616,0.025,3m,1.2000000000000002,1.1,2.0,656,COMPLETE
112,112,-0.09853904396344994,2025-06-20 21:05:14.887431,2025-06-20 21:05:15.119814,0 days 00:00:00.232383,0.5,8,504,0.025,3m,1.2000000000000002,1.0,2.0,728,COMPLETE
113,113,0.13404370941049507,2025-06-20 21:05:15.138044,2025-06-20 21:05:15.376911,0 days 00:00:00.238867,0.5,7,544,0.025,3m,1.2000000000000002,1.1,2.0,640,COMPLETE
114,114,-0.1467856206001185,2025-06-20 21:05:15.394278,2025-06-20 21:05:15.622150,0 days 00:00:00.227872,0.5,6,552,0.025,5m,1.2000000000000002,0.9,1.8000000000000003,624,COMPLETE
115,115,-100.0,2025-06-20 21:05:15.639331,2025-06-20 21:05:15.861029,0 days 00:00:00.221698,0.5,6,536,0.025,8m,1.2000000000000002,1.2000000000000002,2.0,672,COMPLETE
116,116,0.10044301938724856,2025-06-20 21:05:15.884977,2025-06-20 21:05:16.188575,0 days 00:00:00.303598,0.5,7,632,0.025,3m,1.3,1.0,2.0,576,COMPLETE
117,117,-0.17707913803099976,2025-06-20 21:05:16.205168,2025-06-20 21:05:16.454983,0 days 00:00:00.249815,0.5,6,576,0.025,10m,1.2000000000000002,1.1,1.9000000000000001,720,COMPLETE
118,118,-0.1658474377942515,2025-06-20 21:05:16.471484,2025-06-20 21:05:16.735305,0 days 00:00:00.263821,0.5,6,600,0.025,3m,1.0,1.2000000000000002,2.0,504,COMPLETE
119,119,-0.3334408676889131,2025-06-20 21:05:16.755914,2025-06-20 21:05:17.019726,0 days 00:00:00.263812,0.5,6,536,0.025,2m,1.3,1.2000000000000002,1.9000000000000001,640,COMPLETE
120,120,-1.722862657433937,2025-06-20 21:05:17.037259,2025-06-20 21:05:17.271553,0 days 00:00:00.234294,0.5,7,680,0.025,9m,0.5,1.1,2.0,760,COMPLETE
121,121,0.15998429161417335,2025-06-20 21:05:17.289723,2025-06-20 21:05:17.537865,0 days 00:00:00.248142,0.5,8,472,0.025,3m,1.2000000000000002,1.1,2.0,664,COMPLETE
122,122,0.10162236151161802,2025-06-20 21:05:17.558186,2025-06-20 21:05:17.815890,0 days 00:00:00.257704,0.5,8,472,0.025,3m,1.2000000000000002,1.0,2.0,600,COMPLETE
123,123,0.06354343100085927,2025-06-20 21:05:17.840135,2025-06-20 21:05:18.091591,0 days 00:00:00.251456,0.5,9,560,0.025,3m,1.2000000000000002,1.1,2.0,552,COMPLETE
124,124,-1.3044479233383632,2025-06-20 21:05:18.107634,2025-06-20 21:05:18.376059,0 days 00:00:00.268425,0.5,8,440,0.025,1m,1.3,1.1,1.9000000000000001,736,COMPLETE
125,125,-0.3738493270362059,2025-06-20 21:05:18.395064,2025-06-20 21:05:18.643819,0 days 00:00:00.248755,0.45,10,648,0.025,3m,1.1,1.2000000000000002,2.0,640,COMPLETE
126,126,-0.18215365412039045,2025-06-20 21:05:18.660291,2025-06-20 21:05:18.932433,0 days 00:00:00.272142,0.2,6,504,0.025,3m,1.0,1.2000000000000002,1.8000000000000003,664,COMPLETE
127,127,-0.07256453621280441,2025-06-20 21:05:18.939360,2025-06-20 21:05:19.199027,0 days 00:00:00.259667,0.5,7,576,0.025,3m,1.2000000000000002,1.3,1.9000000000000001,760,COMPLETE
128,128,-0.5624426292061878,2025-06-20 21:05:19.218043,2025-06-20 21:05:19.449799,0 days 00:00:00.231756,0.5,6,608,0.025,4m,1.1,1.2000000000000002,2.0,616,COMPLETE
129,129,0.10182995167963077,2025-06-20 21:05:19.455526,2025-06-20 21:05:19.713133,0 days 00:00:00.257607,0.5,7,528,0.025,3m,1.2000000000000002,1.1,2.0,672,COMPLETE
130,130,-0.09940034946352977,2025-06-20 21:05:19.730994,2025-06-20 21:05:19.953377,0 days 00:00:00.222383,0.45,6,464,0.025,10m,1.3,1.3,1.9000000000000001,712,COMPLETE
131,131,0.11552634696025729,2025-06-20 21:05:19.978083,2025-06-20 21:05:20.213843,0 days 00:00:00.235760,0.5,8,504,0.025,3m,1.2000000000000002,1.1,2.0,656,COMPLETE
132,132,0.10961156032988358,2025-06-20 21:05:20.232694,2025-06-20 21:05:20.490019,0 days 00:00:00.257325,0.5,7,520,0.025,3m,1.2000000000000002,1.1,2.0,640,COMPLETE
